renda,tempo_emprego,sexo_M,tipo_renda_Empresário,posse_de_imovel_True,educacao_Superior_completo,idade,qt_pessoas_residencia
2671.75,0.3342465753424657,0,0,1,1,41,5.0
10137.36,15.449315068493153,1,0,1,0,37,3.0
6577.55,3.032876712328767,0,1,1,0,55,2.0
1218.39,3.8301369863013695,0,1,1,1,43,3.0
10137.36,15.449315068493153,1,0,1,0,37,3.0
939.11,14.304109589041095,0,0,1,0,37,3.0
2581.01,8.605479452054794,0,0,1,0,49,2.0
2880.65,3.1178082191780816,0,0,1,0,37,2.0
1531.68,4.5178082191780815,0,0,0,0,37,9.0
4945.99,6.7972602739726025,0,1,1,1,30,3.0
6482.93,4.134246575342465,1,1,1,1,35,4.0
4175.45,4.717808219178083,1,1,0,1,25,1.0
1306.5,15.02191780821918,0,0,0,1,43,1.0
7991.53,4.2027397260273975,1,0,0,0,27,2.0
3606.31,9.432876712328769,0,0,0,0,33,3.0
5007.8,15.972602739726028,0,1,1,0,43,2.0
4258.8,4.608219178082192,1,0,0,1,24,1.0
3552.09,4.0547945205479445,0,1,1,0,39,5.0
9420.23,7.2,1,0,0,0,38,4.0
6269.39,2.0465753424657533,0,1,1,0,29,2.0
4368.58,8.361643835616439,0,0,0,1,38,4.0
1921.32,2.893150684931507,0,1,1,0,25,2.0
7867.46,5.079452054794522,1,1,1,0,58,2.0
4128.52,10.117808219178082,0,0,1,0,35,5.0
9194.41,9.887671232876713,0,1,1,0,50,2.0
11725.69,10.610958904109587,0,0,1,0,56,2.0
1719.55,1.5506849315068494,1,0,1,0,42,2.0
1630.88,6.043835616438357,0,0,0,1,31,2.0
2399.0,0.4876712328767123,1,1,0,0,47,2.0
2077.02,4.441095890410959,0,0,1,0,34,2.0
1427.05,0.6821917808219178,1,0,0,0,27,4.0
10872.91,5.457534246575341,1,0,0,0,28,1.0
10782.78,6.934246575342466,1,0,1,0,29,4.0
2879.44,12.271232876712329,0,0,1,1,32,3.0
5616.4,1.263013698630137,0,0,0,0,58,1.0
12301.53,4.572602739726029,1,0,1,1,31,4.0
10351.21,8.389041095890411,1,0,0,1,41,2.0
4238.73,8.052054794520547,0,0,1,0,39,1.0
4465.88,5.219178082191782,0,0,1,0,39,4.0
899.43,8.605479452054794,0,0,1,0,49,2.0
7150.57,9.791780821917808,1,0,0,1,33,2.0
4146.14,1.7123287671232876,0,0,1,0,36,2.0
3356.47,3.1780821917808217,0,0,0,1,30,2.0
4376.36,12.561643835616438,0,0,1,0,51,2.0
1186.35,5.268493150684932,0,0,0,1,33,4.0
3296.73,1.1726027397260277,0,0,1,0,42,6.0
3088.68,4.624657534246575,0,1,0,0,44,2.0
10137.36,15.449315068493153,1,0,1,0,37,3.0
3740.97,2.0136986301369864,0,0,0,1,31,3.0
4364.44,16.709589041095892,0,0,1,0,42,3.0
2020.71,7.372602739726028,0,0,1,1,30,2.0
8219.36,5.550684931506848,1,1,0,0,28,1.0
1273.06,5.602739726027397,0,0,1,1,45,2.0
2161.75,7.413698630136985,0,0,1,0,32,2.0
6539.29,8.980821917808221,1,0,1,0,45,3.0
2604.93,0.8027397260273973,1,0,1,0,39,4.0
2521.61,1.1095890410958904,1,1,0,1,33,2.0
2688.53,3.3863013698630136,1,0,0,0,23,1.0
1934.53,4.767123287671233,0,0,0,0,27,2.0
2542.1,8.753424657534246,0,0,0,0,33,2.0
4937.18,1.3178082191780822,1,0,1,1,29,2.0
1069.52,5.057534246575343,0,0,0,0,40,3.0
9979.33,19.45205479452055,0,1,1,1,41,2.0
3706.01,12.073972602739724,0,0,1,1,40,3.0
7138.05,3.5506849315068494,1,1,0,0,28,2.0
7421.1,1.0328767123287672,1,1,1,1,52,2.0
6192.86,16.545205479452054,0,0,1,0,52,2.0
2895.24,8.624657534246575,0,0,1,0,45,2.0
3187.69,1.7205479452054795,0,1,1,0,50,1.0
5517.08,4.717808219178083,1,0,0,0,39,3.0
3993.09,20.28493150684932,0,0,1,1,50,2.0
3023.42,7.213698630136986,0,0,1,0,53,1.0
1698.29,5.846575342465752,0,0,1,1,63,1.0
1402.25,0.5260273972602739,0,0,1,0,32,3.0
1713.9,6.126027397260274,1,0,1,0,30,2.0
1733.67,1.1150684931506851,0,0,1,1,46,3.0
12160.48,18.18904109589041,1,0,1,0,36,2.0
3576.22,10.04931506849315,1,0,1,0,36,5.0
1974.13,1.5534246575342463,1,1,1,1,49,2.0
1859.44,5.846575342465752,0,0,0,1,32,2.0
2678.97,0.9287671232876712,0,0,1,1,42,2.0
4694.05,4.756164383561643,0,1,1,0,38,3.0
13401.13,4.4301369863013695,1,0,1,0,47,2.0
3398.81,8.361643835616439,0,0,0,0,27,1.0
4495.57,21.47945205479452,0,1,1,0,48,2.0
1313.12,3.994520547945205,1,0,0,0,44,3.0
1016.58,1.3232876712328767,0,1,1,1,27,1.0
3504.86,15.498630136986304,0,1,1,0,35,4.0
1136.24,10.12054794520548,0,0,1,1,44,3.0
1350.15,3.6931506849315054,0,0,0,1,47,2.0
10141.78,4.046575342465753,0,0,1,0,37,3.0
2586.35,6.83013698630137,0,0,1,0,47,2.0
2523.79,4.049315068493152,0,0,0,0,44,2.0
5762.81,4.761643835616439,0,0,1,0,39,4.0
2536.29,3.863013698630137,0,1,1,1,46,2.0
3431.53,11.02191780821918,0,0,0,1,45,2.0
1442.14,10.2,0,1,0,1,36,4.0
716.18,3.2575342465753425,1,1,1,0,42,2.0
6352.43,17.194520547945206,1,0,1,1,51,2.0
1734.95,6.545205479452054,0,1,0,0,31,1.0
1488.27,4.441095890410959,0,0,1,0,37,2.0
7454.7,2.345205479452055,0,1,1,0,30,3.0
3685.9,3.468493150684932,1,1,1,0,57,2.0
650.62,2.512328767123288,0,0,1,1,54,1.0
1798.61,4.394520547945207,1,1,0,0,31,2.0
4490.53,11.183561643835615,0,0,0,1,40,2.0
959.69,7.832876712328768,0,0,1,1,45,2.0
2485.29,1.0136986301369864,0,1,0,0,44,1.0
4876.41,2.8767123287671232,0,1,1,0,57,1.0
3968.87,2.7150684931506848,0,0,1,0,44,2.0
1191.65,3.5095890410958903,0,0,0,0,36,2.0
4853.84,0.547945205479452,1,1,1,0,35,4.0
4265.71,0.8273972602739726,0,0,1,0,39,1.0
659.62,19.30958904109589,0,1,1,0,50,2.0
5972.23,0.4493150684931506,1,1,0,1,25,2.0
2126.36,7.0109589041095886,0,0,1,0,54,2.0
3370.68,19.534246575342465,0,0,0,0,45,2.0
4417.19,1.4657534246575343,0,1,1,0,40,3.0
2665.14,23.02739726027397,0,0,1,0,54,1.0
11520.21,12.605479452054794,0,0,0,0,40,2.0
8213.55,6.852054794520547,1,0,1,0,41,3.0
962.44,6.717808219178082,0,0,1,0,40,2.0
2640.65,1.6821917808219178,0,0,1,1,52,2.0
3203.4,2.632876712328767,0,0,1,0,43,2.0
10514.56,9.158904109589043,1,1,1,1,34,4.0
2401.61,8.638356164383561,0,0,0,0,51,2.0
2721.7,10.602739726027398,0,0,1,1,29,1.0
2860.26,4.008219178082192,1,0,1,1,33,2.0
7311.61,1.8794520547945208,1,0,1,0,48,4.0
2266.57,6.263013698630138,0,0,0,1,35,2.0
4464.82,1.8657534246575345,0,0,0,0,46,2.0
1746.9,3.778082191780822,1,1,1,0,40,2.0
5478.13,4.8054794520547945,1,0,1,0,55,2.0
2746.53,4.0191780821917815,1,0,1,1,30,2.0
1139.35,2.4547945205479453,1,0,0,0,33,1.0
3134.79,13.136986301369864,0,0,1,1,36,3.0
1449.57,1.1369863013698631,0,0,1,0,37,2.0
2472.99,7.4520547945205475,0,0,0,0,36,4.0
2063.33,0.7753424657534247,1,0,0,0,40,4.0
1674.91,4.424657534246577,1,0,1,0,24,2.0
5621.51,15.36164383561644,0,1,1,1,63,2.0
917.37,2.8,0,0,0,1,25,3.0
1558.77,1.9753424657534249,0,0,1,1,33,3.0
2532.71,1.956164383561644,1,1,1,0,31,1.0
5707.63,1.1287671232876713,0,1,1,0,45,5.0
6581.12,8.627397260273973,0,0,1,0,54,2.0
3725.31,8.605479452054794,0,0,1,0,49,2.0
3366.34,2.03013698630137,1,0,1,1,34,2.0
2409.86,2.249315068493151,0,1,0,0,46,2.0
1438.42,7.556164383561644,0,1,1,0,43,2.0
2823.44,10.536986301369865,1,0,1,1,41,3.0
5547.94,3.46027397260274,0,0,1,1,29,3.0
3360.57,4.558904109589041,0,0,1,0,41,5.0
4252.5,5.723287671232876,1,0,1,1,44,3.0
5935.21,6.6438356164383565,0,0,1,0,53,2.0
7660.36,8.819178082191781,1,1,1,1,44,3.0
2594.12,7.120547945205479,0,0,1,0,40,3.0
9531.76,3.5835616438356164,0,0,0,0,39,3.0
3923.02,4.676712328767123,0,1,1,1,27,2.0
2228.79,12.605479452054794,0,0,0,0,40,2.0
5731.06,9.057534246575342,0,0,1,1,54,2.0
1536.68,4.594520547945206,0,1,1,1,51,1.0
5722.12,7.926027397260274,1,1,0,0,33,3.0
1206.19,7.863013698630137,0,0,0,0,26,4.0
3486.51,1.1945205479452057,1,0,0,1,28,2.0
3279.63,12.895890410958906,1,0,1,0,41,4.0
1954.03,2.8,0,0,1,1,28,2.0
6107.98,7.8410958904109584,1,0,0,0,44,3.0
3168.51,7.301369863013699,0,0,0,0,27,3.0
3160.87,1.797260273972603,0,1,1,0,34,2.0
4095.33,10.178082191780822,0,0,0,1,51,1.0
1632.97,7.619178082191781,0,1,1,0,62,2.0
3953.28,3.7561643835616434,0,1,1,1,46,2.0
5932.86,13.873972602739729,0,0,0,0,40,2.0
5132.72,2.8794520547945206,1,0,0,0,56,2.0
3525.04,20.02739726027397,0,0,0,0,46,1.0
3422.82,29.64657534246575,0,0,0,0,52,2.0
7448.13,8.89315068493151,1,0,1,1,53,2.0
5972.23,0.4493150684931506,1,1,0,1,25,2.0
3640.47,5.958904109589041,0,0,1,0,29,4.0
7647.99,5.216438356164384,1,0,1,1,31,4.0
8633.55,3.2136986301369865,1,0,1,0,40,4.0
1324.75,1.7150684931506852,0,0,1,0,39,1.0
4588.78,35.895890410958906,0,0,0,0,56,1.0
6804.58,3.6821917808219182,0,0,1,0,26,2.0
6437.64,15.778082191780822,0,0,1,0,45,2.0
2593.42,6.016438356164382,0,0,1,0,53,2.0
9590.0,11.613698630136984,1,1,1,1,36,3.0
1686.72,10.676712328767124,1,0,1,0,31,2.0
752.87,8.331506849315069,0,1,0,1,48,2.0
1505.71,7.372602739726028,0,0,1,1,30,2.0
8721.31,9.523287671232875,1,1,1,0,49,2.0
1113.35,8.367123287671232,0,0,1,0,49,1.0
4685.65,3.1890410958904107,1,1,0,0,32,2.0
4462.83,5.846575342465752,0,0,1,0,47,1.0
5981.09,11.106849315068493,1,0,0,0,45,2.0
10482.6,3.871232876712329,1,0,0,0,49,2.0
5510.41,15.057534246575342,0,0,1,0,42,4.0
2571.35,7.457534246575342,1,1,0,0,57,2.0
3122.72,8.980821917808221,1,0,1,0,45,3.0
8092.49,3.810958904109589,1,1,1,1,61,4.0
6784.97,14.084931506849315,1,0,1,1,57,2.0
2901.45,0.6054794520547945,0,0,1,0,54,2.0
2723.0,2.6794520547945204,1,0,1,0,34,3.0
5332.19,4.3506849315068505,0,0,1,0,34,6.0
3486.54,1.3753424657534246,0,0,1,0,40,3.0
2219.34,8.753424657534246,0,0,0,0,33,2.0
6242.83,5.6438356164383565,1,0,1,1,40,2.0
4076.1,1.7671232876712328,0,0,0,0,42,2.0
1636.86,3.52054794520548,0,1,1,0,48,2.0
1423.51,0.4301369863013699,0,1,0,0,43,2.0
2386.12,7.471232876712329,1,0,1,0,44,2.0
3365.23,3.671232876712329,1,0,1,0,26,3.0
3226.5,17.361643835616437,0,1,1,1,37,4.0
964.38,3.6301369863013697,0,1,1,1,39,3.0
4405.98,8.139726027397263,0,0,1,1,56,2.0
1041.87,4.104109589041096,0,0,1,1,31,2.0
2160.62,6.53972602739726,0,0,0,0,38,2.0
3998.44,7.687671232876712,1,1,1,0,45,3.0
1607.39,2.375342465753425,1,0,1,0,31,3.0
1499.06,1.0684931506849316,0,0,1,1,54,2.0
1153.47,2.7150684931506848,0,0,0,0,41,3.0
3200.97,1.2986301369863014,1,0,1,0,41,1.0
2184.97,3.3863013698630136,0,1,1,0,46,2.0
12461.47,1.556164383561644,1,1,1,0,29,2.0
7414.63,2.416438356164384,1,0,1,0,44,2.0
4734.88,6.764383561643837,1,1,1,1,52,1.0
7776.32,6.394520547945207,1,0,1,0,29,1.0
3476.44,6.347945205479452,0,0,0,1,32,3.0
8794.15,12.717808219178083,1,0,0,0,43,2.0
9137.44,29.515068493150693,0,0,0,0,48,2.0
5720.28,3.3589041095890413,1,0,0,1,39,2.0
10615.36,4.882191780821918,1,0,1,0,50,1.0
7589.95,3.5178082191780824,0,0,0,1,29,2.0
9478.96,2.1780821917808217,1,1,0,0,28,1.0
6177.0,0.6356164383561644,1,0,1,0,38,3.0
8048.85,1.0904109589041096,1,1,1,1,44,2.0
1660.19,2.290410958904109,1,1,1,1,38,5.0
13211.18,18.035616438356165,1,0,0,1,46,2.0
3030.06,3.1150684931506847,1,0,1,1,47,3.0
3130.72,2.4575342465753423,0,1,1,0,42,4.0
3660.64,8.10684931506849,0,0,1,0,42,2.0
2049.91,10.6,0,0,0,0,59,2.0
7477.02,9.821917808219178,1,0,1,0,53,2.0
3541.12,1.991780821917808,1,0,0,1,32,4.0
2381.91,1.704109589041096,1,0,0,0,32,2.0
3241.35,3.602739726027397,0,0,1,1,48,3.0
1063.13,1.2602739726027397,0,0,1,1,27,2.0
2280.57,0.5150684931506849,0,0,1,0,49,2.0
6475.32,31.750684931506854,0,0,1,0,63,1.0
1185.3,3.895890410958904,0,1,1,0,40,2.0
1764.58,5.846575342465752,0,0,1,0,47,1.0
8968.37,4.158904109589041,0,0,1,0,34,4.0
2333.98,13.347945205479451,0,0,1,1,40,3.0
1458.5,2.4575342465753423,0,0,1,0,28,2.0
4202.12,3.723287671232877,1,0,0,0,47,2.0
1750.64,7.520547945205481,0,0,1,1,28,3.0
7213.25,7.101369863013699,1,0,0,0,48,2.0
12619.27,11.69041095890411,0,0,1,0,47,2.0
2802.73,8.219178082191782,0,1,1,1,44,1.0
1003.55,9.41095890410959,0,1,1,1,40,2.0
9062.09,5.931506849315069,1,0,1,1,28,3.0
2063.69,2.8575342465753426,1,0,1,0,55,2.0
3518.44,6.6876712328767125,0,1,1,0,50,1.0
2578.13,0.8575342465753425,1,1,1,1,35,2.0
625.67,3.468493150684932,0,0,1,1,37,2.0
841.49,1.5095890410958903,1,0,0,0,27,2.0
2774.86,17.68767123287671,0,0,1,0,41,2.0
2159.38,10.635616438356164,0,0,1,0,53,1.0
2842.88,5.684931506849315,0,0,1,0,38,1.0
3535.35,3.0986301369863014,1,1,1,0,41,2.0
6739.82,14.797260273972602,1,0,0,0,33,3.0
5070.41,18.12054794520548,0,0,0,0,46,1.0
1577.16,4.635616438356164,0,0,1,0,37,4.0
1980.71,16.972602739726028,0,0,1,0,48,2.0
3217.05,4.778082191780823,0,1,0,0,42,2.0
542.49,2.7698630136986298,0,0,1,1,29,4.0
1135.07,5.958904109589041,0,0,1,0,50,2.0
2533.46,4.791780821917809,0,0,1,0,55,2.0
5293.84,1.1232876712328768,0,0,1,1,45,2.0
8198.55,4.0191780821917815,1,0,1,1,30,2.0
664.13,6.164383561643835,1,0,0,0,30,4.0
1685.14,1.991780821917808,1,0,0,1,32,4.0
5249.1,1.263013698630137,1,0,1,0,27,1.0
1217.68,8.605479452054794,0,0,1,1,40,2.0
3582.17,3.558904109589041,1,0,1,0,32,2.0
4582.5,22.38630136986301,0,1,0,0,55,2.0
2921.69,8.605479452054794,0,1,1,0,51,2.0
3745.32,8.227397260273973,1,0,1,1,26,2.0
3365.25,4.18082191780822,0,0,0,0,29,1.0
3379.75,11.726027397260276,1,0,1,1,38,2.0
2031.34,5.216438356164384,0,0,1,0,48,1.0
5564.02,8.136986301369863,0,0,1,1,61,1.0
2447.78,2.0136986301369864,0,0,0,0,27,3.0
1587.07,6.216438356164384,0,1,1,0,38,2.0
4234.94,0.9917808219178084,0,0,0,0,30,3.0
2391.11,24.64383561643836,0,1,1,1,46,1.0
4221.19,6.019178082191781,0,1,1,1,42,4.0
3075.6,2.1863013698630143,0,0,0,0,40,2.0
3582.35,3.4493150684931506,1,0,0,0,28,2.0
6443.93,15.402739726027391,0,0,1,0,48,2.0
7606.21,7.912328767123287,0,0,1,0,54,1.0
6569.62,2.6,0,0,1,1,29,2.0
906.52,6.706849315068491,0,0,1,1,28,3.0
5611.78,0.8356164383561644,0,0,1,0,42,2.0
6108.79,3.9178082191780814,0,1,1,0,33,1.0
1973.9,7.616438356164384,0,0,0,0,32,2.0
6838.95,14.643835616438356,0,0,1,0,51,2.0
11437.71,39.65205479452055,0,0,1,1,58,3.0
1074.63,7.016438356164382,0,0,0,1,39,2.0
7615.33,9.684931506849315,0,1,1,0,52,2.0
10546.41,5.7972602739726025,1,1,1,0,29,1.0
4442.32,16.77260273972603,1,0,0,0,35,2.0
5153.68,34.649315068493145,0,0,1,0,53,2.0
6128.9,7.687671232876712,1,0,1,0,29,3.0
10952.51,9.35068493150685,1,0,1,0,52,2.0
12146.53,8.449315068493151,1,0,1,1,29,1.0
3101.33,4.301369863013698,0,1,0,0,52,2.0
1650.83,0.8301369863013699,0,0,0,0,26,1.0
5600.68,17.964383561643835,1,0,0,0,42,2.0
2574.24,9.128767123287671,0,1,1,0,46,2.0
801.02,3.1780821917808217,0,0,0,0,40,4.0
8660.49,17.986301369863018,0,1,1,1,55,2.0
2920.69,2.627397260273973,1,1,0,1,25,2.0
2378.07,4.312328767123288,0,0,1,1,54,2.0
3370.72,1.8794520547945208,0,0,0,0,51,2.0
2072.49,3.1643835616438367,0,0,0,0,57,2.0
1066.0,13.210958904109589,0,1,0,1,32,1.0
2595.87,1.0164383561643835,0,0,1,0,39,3.0
3325.86,0.6273972602739726,1,1,1,1,40,4.0
1426.74,4.6,0,1,1,0,27,4.0
1223.98,14.126027397260271,0,1,1,1,56,2.0
3941.81,15.643835616438356,0,0,1,0,38,4.0
2219.3,2.682191780821918,0,1,1,1,28,2.0
12800.52,7.882191780821918,1,0,0,0,32,1.0
1835.19,0.6273972602739726,1,1,1,1,40,4.0
7168.75,5.780821917808219,0,0,0,0,33,3.0
3793.72,6.3780821917808215,0,1,1,1,55,1.0
8651.81,9.627397260273971,1,0,1,0,42,2.0
5403.62,2.8054794520547945,1,0,1,0,36,3.0
1804.64,3.602739726027397,1,0,1,0,29,2.0
1997.2,1.0986301369863014,0,0,0,0,29,4.0
13444.33,15.136986301369864,0,0,1,1,56,1.0
10261.63,15.391780821917806,0,1,1,0,45,4.0
1281.76,1.5698630136986302,0,0,1,1,27,1.0
2564.1,3.783561643835617,0,0,1,0,43,1.0
2581.24,3.764383561643836,0,1,1,1,28,1.0
11545.7,7.884931506849315,0,1,1,1,53,3.0
5642.9,3.994520547945205,1,0,0,0,44,3.0
